index,start_time,end_time,transcript,joy,sadness,anger,calm,fear,source_dominant_emotion,raw_track_id,raw_filename,raw_similarity,dominant_emotion,selected_track_id,selected_filename,selected_similarity
0,0.0,7.1,"Homebound, from anthology a Massachusetts poet, edited by William Stanley Braythwaite.",0.2229273192629651,0.04689280381065841,0.052541032065218624,0.5156821309369972,0.16195671392416067,neutral,calm3,calm3.mp3,0.9514584973034437,calm,calm3,calm3.mp3,0.9514584973034437
1,7.72,9.44,This is a Librivox recording.,0.2123084314188279,0.046758613697068484,0.05215402991231403,0.5233078993485196,0.16547102562326996,neutral,calm3,calm3.mp3,0.9523428326782825,calm,calm3,calm3.mp3,0.9523428326782825
2,9.92,12.52,All Librivox recordings are in the public domain.,0.20519109165868274,0.04637630285027209,0.05144047803789337,0.5324041941144125,0.16458793333873925,neutral,calm3,calm3.mp3,0.9548244039246933,calm,calm3,calm3.mp3,0.9548244039246933
3,13.2,18.06,"For more information or to volunteer, please visit Librivox dot org.",0.20099039130021815,0.04759415592937658,0.05170748626952657,0.5300602701943853,0.16964769630649343,neutral,calm2,calm2.mp3,0.9525307619723103,calm,calm3,calm3.mp3,0.9548244039246933
4,18.9,20.22,Recording by Larry Wilson.,0.21948501903437168,0.0489883348249513,0.05343334515131266,0.41313542290774347,0.2649578780816209,neutral,calm2,calm2.mp3,0.8595476841283959,calm,calm3,calm3.mp3,0.9548244039246933
5,21.5,23.62,Homebound by Joseph Auslander.,0.22561883922343626,0.06777161282249934,0.05641472226038311,0.37767109013845773,0.27252373555522347,fearful,calm2,calm2.mp3,0.8292114099702184,calm,calm3,calm3.mp3,0.9548244039246933
6,24.3,27.6,The moon is a wavering rim where one fish slips.,0.22469368528073252,0.06849427920021146,0.056817507467365545,0.3778039933600885,0.27219053469160187,neutral,calm2,calm2.mp3,0.8298744494707406,calm,calm3,calm3.mp3,0.9548244039246933
7,28.64,30.72,The water makes a quietness of sound.,0.21735597010544952,0.06960361264985514,0.05785905381308703,0.4690580197020952,0.18612334372951309,neutral,calm3,calm3.mp3,0.9287336371598323,calm,calm3,calm3.mp3,0.9548244039246933
8,31.64,34.3,"Night is an anchoring of many ships, homebound.",0.22549551823249234,0.054400114783036656,0.058920379337787876,0.3871848633081618,0.2739991243385213,neutral,calm2,calm2.mp3,0.8342751801949527,calm,calm3,calm3.mp3,0.9548244039246933
9,35.5,40.0,"There are strange tunnelers in the dark, and whirs of wings that die.",0.23989759292374424,0.05521417503710435,0.06172875666631052,0.3197521510358789,0.323407324336962,fearful,calm2,calm2.mp3,0.7384935275567928,fear,calm3,calm3.mp3,0.9548244039246933
